Title,Authors,Journal/Conference,Year,Citations
Evaluation of cognitive functions among Lebanese patients with schizophrenia,C Haddad,19th Congress of the WPA Epidemiology and Public Health Section,2022,
Qualité de Vie et Usage Des Drogues Parmi les Réfugiés Syriens et Palestiniens Dans les Camps Palestiniens au Liban: Déterminants et variables prédictives,Z Abbas,,2022,
Combined anticoagulant and antiplatelet therapy is associated with an improved outcome in hospitalised patients with COVID-19: a propensity matched cohort study,"K Matli, N Chamoun, A Fares, V Zibara, S Al-Osta, R Nasrallah, ...","European Heart Journal 43 (Supplement_2), ehac544. 2708",2022,
Erratum: Financial wellbeing and quality of life among a sample of the Lebanese population: The mediating effect of food insecurity,FP Office,"Frontiers in Nutrition 9, 1029025",2022,
"Connaissance, Attitude et Perception (CAP) des accidents vasculaires cérébraux: Une étude sur la population libanaise",S Saade,,2022,
Morbidity and Mortality due to Infections in Patients hospitalized for Myocardial Infarction,"A El Khoury, S Hammoudeh, A El Mahmoud, L Othman, P Salameh, ...",,2022,
Root and Root Canal Morphology of Premolars in a Sample of the Lebanese Population: Clinical Considerations,"MJ Merhej, R El Hachem, H Sacre, P Salameh, N Ghosn, A Naaman",,2022,
Assessment of Antimicrobial Utilization among Cancer Patients with Febrile Neutropenia at the Lebanese Hospitals,"P Salameh, S Hallit, S Cherri, L Shouman",,2022,
Knowledge and Response to Stroke Among Lebanese Adults: A Population-Based Survey,"H Hosseini, S Saade, S Hallit",,2022,
"Attachment styles and their association with aggression, hostility, and anger in Lebanese adolescents: a national study","S Obeid, S Hallit, C Haddad",,2022,
Psychometric properties of the Traffic locus of control scale–Arabic version (T-LOC-A) among Lebanese drivers,"D Youssef, P Salameh, L Abou-Abbas, LR Salmi",,2022,
Correction to: Competencies required for graduated physicians: the integration of Englander’s common taxonomy in a validated scale for the assessment of competency acquiring in …,"S El Hage, MN Chahine, G Sayde, M Daaboul, J El Masri, P Salameh","Irish Journal of Medical Science 192 (1), 509",2022,
"Managing Endothelial Dysfunction in COVID-19: A Pilot, Double-Blind, Placebo-Controlled, Randomized Clinical Trial at the Lebanese American University Medical Center-Rizk …","K Matli, A Al Kotob, W Jamaleddine, S Al Osta, P Salameh, R Tabbikha, ...","medRxiv, 2022.02. 02.22270341",2022,
A Retrospective Study Assessing the Effect of Infections in Myocardial Infarction Patients: Mortality and Complications,"A El Khoury, P Salameh, S Hammoudeh, A El Mahmoud, T Harb, ...",,2022,
Pascale Salameh,"S El Hage, E Wakim, G Sayde, D Akiki","لولأا نيرشت/ربوتكأ, 743",2022,
"It is illegal to post this copyrighted PDF on any website. Association Between Computer Vision Syndrome, Insomnia, and Migraine Among Lebanese Adults: The Mediating Effect of …","M Akiki, S Obeid, P Salameh, D Malaeb, M Akel, R Hallit, S Hallit","The primary care companion for CNS disorders 24 (4), 21m03083",2022,
"Eastern Mediterranean Health Journal [2022; Vol. 28, Issue 10]",World Health Organization,"East. Mediterr. health j, 705-782",2022,
Pascale Salameh. Assessment of gender gap in surgical specialties among Lebanese medical personnel: the need for involvement of women in surgery,"S El Hage, E Wakim, G Sayde, D Akiki",East Mediterr Health J 28 (10),2022,
Prevalence and Associated Factors of Social Anxiety Among Lebanese Adolescents,PD Sahar Obeid,,2022,
Managing Endothelial Dysfunction in COVID-19,"K Matli, A Al Kotob, W Jamaleddine, S Al Osta, P Salameh, R Tabbikha, ...",,2022,
Living with chronic obstructive pulmonary disease in Lebanon: a phenomenological study,"RG Nohra, JM Morvillers, H Sacre, P Salameh, M Rothan-Tondeur","Eastern Mediterranean Health Journal 28 (2), 114-120",2022,
Antibiotic Misuse in Respiratory Tract Infections,K Asmar,Université Paris-Est Creteil,2021,
Mésusage des antibiotiques dans les infections des voies respiratoires,S Yaacoub,Université Paris-Est Créteil Val-de-Marne-Paris 12,2021,
Mast cell Driven Diseases (MCDD): clinical epidemiology and management aspects in a Middle Eastern country,S Al Tawil,Université Paris-Est,2021,
Evaluations des fonctions cognitives chez les patients schizophrènes au Liban,C El Haddad,Université de Limoges,2021,
Relations entre alimentation et maladies allergiques de l'enfant: étude libanaise et étude française,O Lahoud,Université de Bordeaux,2021,
Évaluation de l’urticaire à l’aide d’un outil de diagnostic autodéclaré (SRUD): une étude de validation multicentrique,"S Al Tawil, C Irani, R Kfoury, S Abramian, P Salameh, K Weller, M Maurer, ...","Annales de Dermatologie et de Vénéréologie-FMC 1 (8), A223",2021,
Importance de la protection anti-UVA dans les écrans solaires,"S Merhi, K Ezzedine, P Salameh, E Dumont, P Kaplan, S Banerjee, ...","Annales de Dermatologie et de Vénéréologie-FMC 1 (8), A290-A291",2021,
Les versions arabes du score d’activité de l’urticaire et le questionnaire sur la qualité de vie de l’urticaire chronique: validation et corrélation,"S Al Tawil, C Irani, R Kfoury, P Salameh, I Baiardini, K Weller, M Maurer, ...","Annales de Dermatologie et de Vénéréologie-FMC 1 (8), A225-A226",2021,
The Effects of COVID-19 On The Quality of Life Among a Sample of The General Lebanese Population,"C HADDAD, SB Malhab, H SACRE, R THEBIAN, H SALAME, ...",,2021,
Epidémiologie de l'épilepsie dans les pays à revenus faibles et intermédiaires: construire un outil référentiel pour des méthodes validées et partagées,M Vergonjeanne,Université de Limoges,2021,
"The Impact of Covid19 Pandemic, Financial Wellness, and Online Teaching on Lebanese Schoolteachers’ Mental Health","T BAROUD, J EL MASRI, H SHAMMAA, H CHANBOUR, P SALAMEH",Clinical Case Reports and Clinical Study 5 (4),2021,
"Correction: Knowledge, attitudes and practices towards people living with HIV/AIDS in Lebanon","L Youssef, S Hallit, H Sacre, P Salameh, M Cherfan, M Akel, M Hleyhel","Plos one 16 (10), e0259359",2021,
Assessment of urticaria using a self‐reported diagnosis tool (SRUD): a multicentre validation study.,"S Tawil, C Irani, R Kfoury, S Abramian, P Salameh, K Weller, M Maurer, ...",Journal of the European Academy of Dermatology & Venereology 35 (10),2021,
Economic burden of antimicrobial resistance in Lebanon,K Iskandar,Université Paul Sabatier-Toulouse III,2021,
IMPACT ECONOMIQUE DE LA RESISTANCE AUX ANTIBIOTIQUES,K Iskandar,,2021,
Combined Anticoagulant and antiplatelet therapy is associated with an improved outcome in hospitalized COVID-19 patients: a propensity matched cohort study,"K Matli, N Chamoun, A Fares, V Zibara, SA Osta, R Nasrallah, P Salameh, ...","medRxiv, 2021.07. 13.21260467",2021,
"Évaluation du traitement de l'AVC aigu, de l'hypertension et de la prescription de médicaments après le congé chez les patients libanais atteints d'AVC ischémique: résultats d …",D Malaeb,Université Paris-Est Créteil Val-de-Marne-Paris 12,2021,
"Assessment of acute stroke treatment, hypertension, and post discharge medication prescription among Lebanese patients with ischemic stroke: results of a cross-sectional study",D Malaeb,Paris 12,2021,
"RETRACTED: The Impact of Covid19 Pandemic, Financial Wellness, and Online Teaching on The Mental Health of Lebanese Schoolteachers","T Baroud, J El Masri, H Shammaa, H Chanbour, IK Eddine, P Salameh",,2021,
Risk factors for coronary heart disease among Lebanese women: a case-control study,"F Ghaddar, RK Zeidan, P Salameh, S Tatari, G Achkouty, ...","European Journal of Preventive Cardiology 28 (Supplement_1), zwab061. 173",2021,
Validation of the Lebanese Arabic version of the bacs scale (the brief assessment of cognition in Schizophrenia) among schizophrenic inpatients,"C Haddad, P Salameh, S Hallit, S Obeid, G Haddad, JP Clément, B Calvet","7th International Conference on Neurology and Epidemiology (ICNE), Virtual …",2021,
Stratification of Febrile Infants One to Three Months of Age Suspected to have Severe Bacterial Infections According to Complete Blood Count in Mono-Centric Lebanese University …,"H Aoun, A Awad, J Arnouss, P Salameh, I Chokr, R Dana, B Abou Merhi",IAR Journal of Medical Sciences 2 (2),2021,
Psychological Distress Among Lebanese Women During the COVID-19 Confinement: Any Mediating Effect of Violence?,"C Haddad, D Malaeb, H Sacre, SB Malhab, D Khachman, N Lahoud, ...",,2021,
Acknowledgment to Reviewers of Pharmaceutics in 2020,Pharmaceutics Editorial Office,"Pharmaceutics 13 (2), 154",2021,
Acknowledgment to Reviewers of Pharmaceutics in 2020,PE Office,"Pharmaceutics 13 (2), 154",2021,
"Cognitive Impairment At 3, 6 and 12 Month After the First-Ever Stroke Among Lebanese Survivors: Incidence and Risk Factors","C Boutros, W Khazaal, M Taliani, P Salameh, H Hosseini, NS Sadier",,2021,
COVID-19 Vaccination in the Time of Austerity: How and for Whom?,"JM Abi-Rached, P Salameh",,2021,
Association Between Adult Attachment Styles and Disordered Eating Among a Sample of Lebanese Adults,"M Zakhour, C Haddad, P Salameh, H Sacre, R Hallit, M Akel, N Kheir, ...",,2021,
Knowledge Towards Antibiotics Use Among Lebanese Adults,"AM Henaine, N Lahoud, ILB Lebanon, R Abdo, R Shdeed, J Safwan, ...","Sultan Qaboos University Medical Journal 21 (3), 442-449",2021,
"Gender-specific factors associated with risk of depression among Lebanese older adults. Psychogeriatrics: the official journal of the Japanese Psychogeriatric Society, 21 (4 …","C Boulos, P Salameh",,2021,
"Effect of Sociodemographic Factors, Concomitant Disease States, and Measures Performed in the Emergency Department on Patient Disability in Ischemic Stroke: Retrospective Study …","D Malaeb, S Hallit, H Al Harfany, S Mansour, F Faugeras, P Salameh, ...","Stroke Research and Treatment 2021 (1), 5551558",2021,
Removal notice to validation of the Hamilton anxiety rating scale and state trait anxiety inventory a and b in Arabic among the Lebanese population [J Clin Epidemiol. 7 (2019 …,"S Hallit, C Haddad, R Hallit, M Akel, S Obeid, G Haddad, M Soufia, ...","Clinical Epidemiology and Global Health 8 (4), 1408",2020,
Comportements de santé des enfants et des adolescents d'âge scolaire libanais et promotion de la santé. Focus sur les liens entre la promotion de la santé dans les écoles et l …,M El Akel,Toulouse 3,2020,
Validation of the arabic version of the BACS (the brief assessment of cognition in schizophrenia) among a sample of lebanese patients with schizophrenia.,"C Haddad, P Salameh, S Hallit, S Obeid, G Haddad, JP Clément, B Calvet",European Psychiatry 63,2020,
Unhealthy behaviors and risk of uncontrolled hypertension among treated individuals-The CONSTANCES population-based study,"C Michelle, V Alexandre, K Sofiane, S Pascale, M Goldberg, M Zins, ...",Scientific Reports (Nature Publisher Group) 10 (1),2020,
The use of Omalizumab in Severe Allergic Asthma and Chronic Spontaneous Urticaria: real-life experience,"C Irani, S Hallit, S Daccache, P Salameh","Journal of Allergy and Clinical Immunology 145 (2), AB34",2020,
Association between eating behavior and quarantine/confinement stressors during the coronavirus disease 2019 outbreak,P Salameh,,2020,
Non-pharmacological determinants of hypertension at the population level,M Cherfane,Université Paris-Nord-Paris XIII,2019,
Facteurs associés à l'épilepsie: Etude cas-témoins dans la population Libanaise,"L Mroueh, F Boumédiène, J Jost, V Ratsimbazafy, PM Preux, P Salameh, ...",117ème colloque International du Congrès de Psychiatrie et de Neurologie de …,2019,
Facteurs affectant l'observance médicamenteuse des personnes épileptiques Libanaises,"L Mroueh, F Boumédiène, J Jost, V Ratsimbazafy, PM Preux, P Salameh, ...",117ème Colloque International du Congrès de Psychiatrie et de Neurologie de …,2019,
Retention in opioid substitution therapy in lebanese national program: predictors and determinants,"Z Abbas, S Rachidi, N Saleh, P Salameh","FUNDAMENTAL & CLINICAL PHARMACOLOGY 33, 48-48",2019,
Adherence to levothyroxine among patients with hypothyroidism in Lebanon,"EH Sarah, H Souheil, A Sanaa, AH Amal, R Samar, B Wafaa, S Pascale, ...",,2019,
Monitoring and evaluation of the global action plan on antimicrobial resistance: framework and recommended indicators,WH Organization,https://apps.who.int/iris/handle/10665/325006,2019,
Monitoring and evaluation of the global action plan on antimicrobial resistance: framework and recommended indicators,WH Organization,https://apps.who.int/iris/handle/10665/325006,2019,
Pain management in hospitals: Assessment and evaluation,"TS Samah, IA Katia, S Pascale","Pharma Toxi Pharma Open A Open J 1 (1), 16-23",2019,
Medication safety spontaneous reporting system,"M Akel, E Ramia, S Hallit, N Lahoud, A Zaytoun, M Harb, H Hajj, ...",,2019,
Child marriage in emergency contexts,"G Khoury, P Salameh, S Chirizzi, F Salhab",,2019,
Lebanese community pharmacists’ interest in and attitude to pharmacy practice research: A cross-sectional study,"RK Zeidan, S Hallit, RM Zeenny, P Salameh",,2019,
Guide to Self Assessment of Pharmacy Schools,"H Sacre, R Zeenny, P Salameh",https://www.researchgate.net/publication/336460545_GUIDE_TO_SELF …,2018,
DOCTEUR DE L’UNIVERSITÉ DE BORDEAUX,S HALLIT,Université Paris,2018,
Merci François Gimenez,J Calop,"Pharmacie Clinique et Thérapeutique, xv",2018,
Prevalensi dan faktor risiko hipertensi: Sebuah studi cross-sectional nasional di Lebanon,"M Cherfan, J Blacher, R Asmar, MN Chahine, RK Zeidan, R Farah, ...","Jurnal Hipertensi Klinis 20 (5), 867-879",2018,
Research Article A New Lebanese Medication Adherence Scale: Validation in Lebanese Hypertensive Adults,"RB Serhal, P Salameh, N Wakim, C Issa, B Kassem, L Abou Jaoude, ...",,2018,
"Hall it S, Ramia E, Salameh P, Order of Pharmacists Scientific Committee–Medication Safety Sub committee. Medication safety knowledge, attitudes and practices among community …",A Hajj,"Current medical research and opinion, 149-56",2018,
Antibiotic Resistance in Lebanon. Chapter in “AMR Control 2017 contribution”. July 2017,"A Hajj, S Hallit, H Sakr, P Salameh",,2018,
Cardiovascular Diseases and Long-Term Self-Reported Exposure to Pollution,"P Salameh, RK Zeidan, S Hallit, R Farah, M Chahine, R Asmar, ...",,2018,
Health and living conditions of Lebanese elderly living in ruralareas distribution by governorates based on the amel study,"H Souheil, S Pascale, B Christa",,2018,
Voluntary vs. compulsory student evaluation of clerkships,"SA Bahous, P Salameh, W Salameh, YS Park, A Tekian",,2018,
"Sarah El Helou1, Souheil Hallit1-6, Sanaa Awada1, Amal Al-Hajje1, Samar Rachidi1, Wafaa","PS Bawab, S Zein",,2018,
Auteurs de la 5e édition,"A Benoît, A Thomas, A Xavier, A Nathalie, A Gilles, B Astrid, B Jean-Didier, ...","Pharmacie Clinique et Thérapeutique, xix-xxii",2018,
Pratique de la pharmacie clinique au Liban,"A Hajj, S Hallit, H Sacre, P Salameh","Pharmacie Clinique et Thérapeutique, 1135-1140. e2",2018,
Waterpipe and Cigarette Tobacco Smoking: Effects on Pulmonary and Cardiovascular Functions and Acceptability of Shocking Pictorial Warnings in Lebanon,N Layoun,"Lebanese University, Doctoral School of Science and Technology-Docteur en …",2017,
Modes d’utilisation des médicaments prescrits en France et disponibles sans ordonnance au Liban: Application sur les Antibiotiques,M Khalifeh,Bordeaux,2017,
"Cigarette Smoking, Dependence and Chronic Obstructive Pulmonary Disease: A Renewed Approach of an Old Relationship","S Pascale, K Georges, S Joseph, W Mirna","Journal of Addictive Behaviors, Therapy & Rehabilitation 2013",2017,
Elaboration d'un Score Prédictif des Accidents Vasculaires Cérébraux au Liban,M El Hajj,Université Paris-Est; Université Libanaise,2017,
l’Université Paris Est,MM EL HAJJ,Lebanese American University,2017,
DI-038 Antibiotic consumption in non-teaching lebanese hospitals: a cross sectional study,"K Iskandar, EB Raad, P Salameh, P Abi Hanna, R Zeenny","European Journal of Hospital Pharmacy 24 (Suppl 1), A129-A130",2017,
Untreated Dyslipidemia in Lebanese Patients With Schizophrenia,S Hallit,,2017,
Antimicrobial resistance in the Eastern Mediterranean Region,World Health Organization,< bound method Organization. get_name_with_acronym of< Organization: World …,2017,
Clinical Study Patient Perception of Acute Pain Management: Data from Three Tertiary Care Hospitals,"E Ramia, SC Nasser, P Salameh, AH Saad",,2017,
Self-medication misuse in the Middle East: a systematic,"MM Khalifeh, ND Moore, PR Salameh",,2017,
Research Article Etiology of End-Stage Renal Disease and Arterial Stiffness among Hemodialysis Patients,"B El Ghoul, Y Daaboul, S Korjian, A El Alam, A Mansour, E Hariri, ...",,2017,
Research Article The Prevalence and Awareness of Cardiovascular Diseases Risk Factors among the Lebanese Population: A Prospective Study Comparing Urban to Rural Populations,"I Fahs, Z Khalife, D Malaeb, M Iskandarani, P Salameh",,2017,
Effect of exclusive cigarette smoking and in combination with waterpipe smoking on lipoproteins,"H Souheil, Z Marouan, H Rabih, Y Lara, C Rachelle, K Nelly, S Pascale",,2017,
Exposure to toxics during pregnancy and childhood and asthma in children: a pilot study,"H Souheil, S Pascale",,2017,
IN LEBANON,R Rizk,Health technology assessment of hyperphosphatemia management among …,2017,
EDUCATION FOR MANAGEMENT OF OSTEODYSTROPHY TRIAL,R Rizk,Health technology assessment of hyperphosphatemia management among …,2017,
Sex disparities in stroke care and recovery in Lebanon,"R Abdo, H Hosseini, P Salameh, H Abboud",CEREBROVASCULAR DISEASES 43,2017,
Acute ischemic stroke management in Lebanon,"R Abdo, H Hosseini, P Salameh, H Abboud",CEREBROVASCULAR DISEASES 43,2017,
Cost of acute stroke in Lebanon,"R Abdo, H Abboud, P Salameh, H Hosseini",CEREBROVASCULAR DISEASES 43,2017,
Chronic obstructive pulmonary disease and risk factors in Middle East countries; facts from Lebanon. Beirut: Lebanese University,"P Salameh, M Waked",,2017,
Assessment and Review of Pneumonia in a Nursing Home,"M Cherfan, P Salameh, FD Chahine, M Akel, F Sakr, M Dabbous, ...","Middle-East Journal of Scientific Research 25 (2), 282-295",2017,
"Relations entre Phénotypes des cancers broncho-pulmonaires, expositions professionnelles aux particules inhalées et consommation tabagique",M El Zoghbi,Bordeaux,2016,
"Relationships between the phenotypes of lung cancer, occupational exposure to inhaled particles, and tobacco smoking",M El Zoghbi,Université de Bordeaux,2016,
Risk factors and quality of life of,"A Farhat, A Al-Hajje, S Rachidi, S Zein, MB Zeid, P Salameh, W Bawab, ...",,2016,
"Assessment of vitamin D levels, awareness","D Malaeb, S Hallit, P Salameh",,2016,
"Roster of Voting Delegates, 2016",American Association of Colleges of Pharmacy,American Journal of Pharmaceutical Education 80 (7),2016,
Outdoor air pollution improves the validity of a screening scale for cardiovascular disease (CVD) in clinical settings,"Z Nasser, P Salameh, E Elias, H Dakik, L Abou Abbas, A Levêque","Clinical Epidemiology and Global Health 4 (3), 109-114",2016,
Reply to the commentary of Dr. Josué Lily Vidal: Paper: Prevalence of Lebanese stroke survivors: A comparative pilot study,"L Nathalie, S Pascale, S Nadine, H Hassan","Journal of epidemiology and global health 6 (4), 329",2016,
Change in Pulse Wave Velocity and Short Term Development of Cardiovascular Events in the Hemodialysis Population,"Y Daaboul, S Korjian, B El-Ghoul, S Samad, P Salameh, G Dahdah, ...","Arteriosclerosis, Thrombosis, and Vascular Biology 36 (suppl_1), A507-A507",2016,
Intitulée,PS CHAMAT,Université d’Aix-Marseille,2016,
Biological Markers For Chronic Obstructive Pulmonary Disease And Asthma,Z Akiki,Université Paris Saclay (COmUE); Université Libanaise,2016,
Prévalence et corrélats des maladies coronariennes chez les libanais de quarante ans ou plus: une étude nationale,RK Zeidan,Université Paul Sabatier-Toulouse III,2016,
Outdoor air pollutants and cardiovascular diseases in Lebanon,Z Nasser,"Université Libanaise, Ecole Doctorale de Sciences et de Technologie-Diploma …",2016,
Extracurricular activities associated with stress and burnout in preclinical medical students,"N Lahoud, P Salameh, N Saleh, H Hosseini","Journal of Epidemiology and Global Health 6 (3), 169-176",2016,
"L'influence de l'éducation nutritionnelle sur les habitudes alimentaires, les comportements et la connaissance en nutrition des adolescents des écoles privées de la région …",A Boutros,,2016,
AACP REPORTS,"RA Hamilton, LL Briceland, SL Mayhew, CR Breese, RL Evans, ...","American Journal of Pharmaceutical Education 80 (7), S7",2016,
Extracurricular activities associated with stress and burnout in preclinical medical students,"L Nathalie, S Pascale, S Nadine, H Hassan",,2016,
Surveillance of antimicrobial resistance in Lebanese hospitals,"J Mokhbat, K Chamoun, M Farah, G Araj, Z Daoud, R Moghnieh, ...",,2016,
Prescription errors with chemotherapy,"A Saad, CA Der-Nigoghossiam, R Njeim, R Sakr, P Salameh, M Massoud",,2016,
A systematic review of stroke In the Middle East,"M El-Hajj, P Salameh, S Rachidi, H Hosseini","CEREBROVASCULAR DISEASES 41, 107-107",2016,
Obesity and Psychological Distress in Young Adults,AA Linda,Lebanese University,2015,
Obesity and Psychological Distress in Young Adults,L Abou Abbas,"Universite Libanaise, Ecole doctorale de sciences et de technologie",2015,
Évaluation clinique et médico-économique des produits de santé innovants en cancérologie: exemples appliqués au cancer colorectal et au glioblastome,AM Hénaine,Université Claude Bernard-Lyon I,2015,
Les facteurs de risque des accidents vasculaires cérébraux dans la population libanaise: une étude transversale,R Farah,Paris Est,2015,
Prevalence of stroke symptoms among stroke-free residents: national data from Lebanon,"R Farah, RK Zeidan, M Chahine, R Chahine, P Salameh, H Hosseini","EUROPEAN JOURNAL OF NEUROLOGY 22, 208-208",2015,
PP. 31.06: VALIDATION OF THE OMRON (R) M3500 BLOOD PRESSURE MEASURING DEVICE IN THE ADULT AND SPECIFIC POPULATIONS (OBESE AND CHILDREN) ACCORDING TO THE AAMI PROTOCOL,"M Chahine, N Assemaani, G Sayed-Hasan, M Chami-Chebbo, ...","Journal of Hypertension 33, e412",2015,
Diagnostic score for COPD: Validation of the DS-COPD in clinical settings-Lack of empiricity Reply,P Salameh,"CLINICAL EPIDEMIOLOGY AND GLOBAL HEALTH 3 (1), 49-49",2015,
Pharm Pract (Granada). Volume 13. Issue 3. July-September 2015.,COX MATHEWS,"Pharmacy Practice 13 (1), 593",2015,
Research Article Outdoor Air Pollution and Cardiovascular Diseases in Lebanon: A Case-Control Study,"Z Nasser, P Salameh, H Dakik, E Elias, L Abou Abbas, A Levêque",,2015,
Addiction and Sychological Distress Among University Students in Lebanon: The Moderating Effect of Gender,P Salameh,"Journal of Addiction Medicine& Therapy 3 (1), 1-6",2015,
Management of metastatic colorectal cancer current treatments and new therapies,"H Anna Maria, C Georges, S Pascale, E Edouard, M Marcel, H Daniel, ...",,2015,
Hypertension in the Lebanese adults: impact on health related quality of life,"K Malak, S Pascale, AH Amal, A Sanaa, R Samar, B Wafa",,2015,
Influenza Vaccination,"G El Khoury, P Salameh",,2015,
Renal Function Decline in Recipients and Donors of Kidney Grafts,"SA Bahous, M Khairallah, J Al Danaf, R Halaby, S Korjian, Y Daaboul, ...",,2015,
Fiche d'information sur la consommation de tabac par pipe à eau et la santé,O mondiale de la Santé,Fiche d'information sur la consommation de tabac par pipe à eau et la santé,2015,
Relations entre profils alimentaires et maladies allergiques de l’enfant: étude des six villes françaises,D Saadé,Université de Bordeaux; Université Libanaise,2014,
Polymorphism in SFTPD gene affects assembly and constitutional serum levels of surfactant protein D in a Lebanese population,"D Fakih, S Chamat, M Medlej-Hashim, M Waked, P Salameh, G Sorensen, ...",European Respiratory Journal 44 (Suppl 58),2014,
Delivering antibiotics by Lebanese pharmacists: A comparison of high and low socioeconomic areas,"N Saleh, R Farah, N Lahoud, P Salameh","Revue d'Épidémiologie et de Santé Publique 62, S18",2014,
Females are more adherent to Lebanese Med-iterranean Diet than males among university students. Asian Pac,"C Issa, L Jomaa, J Salamé, M Waked, B Barbour, N Zeidan, I Baldi, ...","J. Health Sci 1 (4), 345-353",2014,
Hamadé,"F Rizk, P Salameh",Congenital anomalies: prevalence and risk factors. Universal Journal of …,2014,
"Prevalence of malnutrition and its correlates in older adults living in long stay institutions situated in Beirut, Lebanon","EZ Mohamad, B Christa, A Sanaa, R Samar, AH Amal, B Wafaa, S Nadine, ...",,2014,
Hyperreactive airway disease in adults Data from a national study in Lebanon,"S Joseph, T Paul, S Pascale, W Mirna",,2014,
Assessment of dietary intake patterns and their correlates among university students in Lebanon. Front Public Health [Internet]. 2014 out [Accessed on 2017 Oct 31]; 2: 185,"P Salameh, L Jomaa, C Issa, G Farhat, J Salamé, N Zeidan",,2014,
Food patterns associated with asthma and allergic diseases in,"IB Annesi-Maesano, C Raherison, F de Blay, C Kopferschmitt, F Lavaud, ...","NUTRITION, 195131",2014,
Addiction and Psychological Distress among University Students in Lebanon: The Moderating Effect of Gender,M Chaaya,,2014,
Castro-esophageal Reﬂux Disease in Lebanese Adults: Effects on Quality of Life and Correlates,"S Awada, S Rachidi, A Al-Haije, RK Zeidan, NB Kansour, C Abboud, ...",,2014,
"Prévalence de la dénutrition chez les sujets âgés en milieu rural et facteurs sociodémographiques associés, Liban","C Boulos, P Salameh, P Barberger-Gateau","Revue d'Épidémiologie et de Santé Publique 61, S266",2013,
Association between dietary patterns and asthma and allergic diseases: Data from the French six cities study,"D Saadeh, P Salameh, D Caillaud, D Charpin, F de Blay, C Kopferschmitt, ...",European Respiratory Journal 42 (Suppl 57),2013,
Las estatinas disminuyen la mortalidad en pacientes libaneses con sepsis: estudio multicéntrico,"R Ajrouche, A Al-Hajje, N El-Helou, S Awada, S Rachidi, S Zein, ...","Pharmacy Practice (Internet) 11 (2), 102-108",2013,
Geriatric Mental Health Care,"S Rachidi, W Bawab, P Salameh",,2013,
Geriatric Mental Health Care,"W Bawab, P Salameh",,2013,
Lung cancer correlates in Lebanese adults: a pilot case-control study,"A Joseph, S Nadine, W Mirna, S Joseph, S Pascale",,2013,
LES MEDICAMENTS ET LA SANTÉ PUBLIQUE,HBW Europa,,2013,
utism in tudy,P Sa,"JRHS 13, 13",2013,
Front & Back Matter,"H Zhan, Z Li, X Zhou, F Yang, J Huang, M Lu, SC Wen, HC Yeh, WJ Wu, ...",Urologia Internationalis 91 (3),2013,
"Cigarette Smoking, Dependence and Chronic Obstructive Pulmonary Disease: A Renewed Approach of an Old Relationship. J Addict Behav Ther Rehabil 2: 3","S Pascale, K Georges, S Joseph, W Mirna","of 6, 2",2013,
Lung cancer correlates in Lebanese adults: A pilot,"J Aoun, N Saleh, M Waked, J Salamé, P Salameh",,2013,
Prevalence of stroke in Lebanon: A 2012 cross-sectional study,"N Lahoud, H Hosseini, P Salameh, N Saleh","CEREBROVASCULAR DISEASES 35, 615-615",2013,
Do personal beliefs and peers affect the practice of alcohol consumption in university students in Lebanon?,"B Barbour, P Salameh",Do personal beliefs and peers affect the practice of alcohol consumption in …,2013,
Comparaison fréquentiste-bayesienne pour épidémiologistes: application sur régressions logistiques,"P Salameh, G Khayat, M Waked, M Dramaix","Revue d'Épidémiologie et de Santé Publique 60, S51-S52",2012,
"Validity of serum surfactant protein D as a lung-specific biomarker in monitoring asthma, chronic obstructive pulmonary disease and chronic bronchitis in Lebanese patients …","R Jounblat, M Waked, Z Akiki, P Salameh, H Bouharoun-Tayoun, I Tornøe, ...",European Respiratory Journal 40 (Suppl 56),2012,
""" RECHERCHE TRANSLATIONNELLE: DE LA DÉCOUVERTE À L’USAGE DES MÉDICAMENTS",DES MÉDICAMENTS,,2012,
La qualité de l'alimentation chez les fumeurs et les non-fumeurs universitaires au Liban.,J Assaf,,2012,
Cigarette smokers' profile in Lebanese adults,"W Mirna, K Georges, S Pascale",,2012,
ARTICLE ORIGINAL/ORIGINAL ARTICLE,"CD MOUSSALLEM, FA HOYEK, JCF LAHOUD","Lebanese Medical Journal 60 (1), 19",2012,
ARTICLE ORIGINAL/ORIGINAL ARTICLE,"HENDÀ L’HÔTEL, D DE FRANCE","Journal Médical Libanais 60 (2), 99",2012,
Cigarette Smokers’ Profile In Lebanese Adults. J Res Health Sci. 2012; 12 (2): xxx-xxx,"W Mirna, K Georges, S Pascale","JRHS 12, 2",2012,
Tolérance de la Radiothérapie dans le Traitement Adjuvant des Séminomes Testiculaires Stade I,"E Nasr, J Helou, D Nehme Nasr","المجلة الطبية اللبنانية 103 (367), 1-4",2011,
Assessment of practices of surgery antibioprophylaxis in Beirut Governmental Hospital,"S Awada, F Abou Jaoudeh, S Rachidi, A Al Hajje, N Ankouni, S Zein, ...","INTERNATIONAL JOURNAL OF CLINICAL PHARMACY 33 (2), 378-378",2011,
Drug prescribing potential errors and interactions: data from 7 Lebanese Hospitals,"A Al Hajje, S Awada, S Rachidi, S Zein, R Azar, AM Hneini, N Dalloul, ...","INTERNATIONAL JOURNAL OF CLINICAL PHARMACY 33 (2), 377-378",2011,
